Key,Value
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0117,303.0996485733986
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0118,303.7893170734048
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0119,304.5196668233871
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0120,305.32015312337876
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0121,305.93414142340424
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0122,306.54916452342275
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0123,307.23448124837876
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0124,307.9094405733943
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0125,309.92981892341373
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0126,310.6891897484064
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0127,311.4397091984153
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0128,312.28978354841473
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0129,313.0696197233796
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0130,313.74959604841473
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0131,314.53977114838364
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0132,315.3901781483889
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0133,316.1297673233747
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0134,318.54515009838343
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0135,319.4601776983738
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0136,320.24983537340165
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0137,320.9794459733963
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0138,321.91626017338035
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0139,323.1499928984046
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0140,323.87955729842184
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0141,324.67994197338817
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0142,325.5399117733836
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0143,326.2097709233761
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0144,328.5382752733827
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0145,329.3603633733988
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0146,330.0898538733721
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0147,330.8366220983863
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0148,331.5100199484229
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0149,332.31041387337444
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0150,333.039682598412
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0151,333.7095509983897
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0152,334.43996542340517
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0153,335.94936597341297
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0154,336.6198072233796
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0155,337.2298964483738
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0156,337.969605748415
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0157,338.95146219837665
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0158,339.8696127483845
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0159,340.5400724483728
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0160,341.2200765234232
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0161,342.18992169839146
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0162,342.79954897338155
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0163,344.63906534838674
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0164,345.7046403483748
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0165,346.62006524837017
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0166,347.5327922233939
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0167,348.39043369841573
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0168,348.9996636734009
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0169,349.72967154842615
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0170,350.47005532342195
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0171,351.0796548733711
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0172,352.89961137342453
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0173,353.63492269837855
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0174,354.43030884838106
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0175,355.27998592340947
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0176,356.0196305484176
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0177,356.75225319838523
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0178,357.55029104840753
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0179,358.70963707339763
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0180,359.6227151483893
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0181,360.3001783733964
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0182,362.33993182337286
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0183,363.16021824842693
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0184,364.01971684837343
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0185,365.24014479839803
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0186,365.9697553734183
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0187,366.7721727483869
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0188,367.7470626484156
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0189,368.47017792338136
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0190,369.1401756734252
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0191,370.91970964837077
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0192,371.7097461484075
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0193,372.5101770234108
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0194,373.18010084837675
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0195,373.79982682341335
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0196,374.54009972339867
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0197,375.5105085234046
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0198,376.36048124837873
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0199,376.96965577340126
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0200,377.71990727341176
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0201,379.7761531233788
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0202,380.5303775733709
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0203,381.38062749838826
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0204,381.99998389840124
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0205,382.90993904840946
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0206,383.64976844841243
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0207,384.3246261484027
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0208,385.06987909841536
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0209,386.05981082338093
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0210,388.4705646234155
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0211,389.32068519842625
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0212,390.1801930233836
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0213,390.9198468734026
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0214,391.54973622339963
